slug,name,modality,level,force,mechanic,equipment,primary_muscles,secondary_muscles,rest_seconds,source
side-leg-raises,Side Leg Raises,stretching,beginner,pull,,body only,adductors,,15,free-exercise-db
side-lying-floor-stretch,Side-Lying Floor Stretch,stretching,beginner,static,,,lats,,15,free-exercise-db
side-lying-groin-stretch,Side Lying Groin Stretch,stretching,beginner,static,isolation,,adductors,hamstrings,15,free-exercise-db
side-neck-stretch,Side Neck Stretch,stretching,beginner,static,isolation,,neck,,15,free-exercise-db
side-wrist-pull,Side Wrist Pull,stretching,beginner,static,isolation,,shoulders,forearms; lats,15,free-exercise-db
sit-squats,Sit Squats,stretching,beginner,push,,,quadriceps,abductors; glutes; hamstrings,15,free-exercise-db
sleeper-stretch,Sleeper Stretch,stretching,beginner,static,isolation,body only,shoulders,middle back,10,original
spinal-stretch,Spinal Stretch,stretching,beginner,static,isolation,,middle back,lats; lower back; neck; traps,15,free-exercise-db
split-squats,Split Squats,stretching,intermediate,push,,,hamstrings,calves; glutes; quadriceps,15,free-exercise-db
standing-biceps-stretch,Standing Biceps Stretch,stretching,beginner,static,isolation,other,biceps,chest; shoulders,15,free-exercise-db
standing-elevated-quad-stretch,Standing Elevated Quad Stretch,stretching,beginner,static,,other,quadriceps,,15,free-exercise-db
standing-gastrocnemius-calf-stretch,Standing Gastrocnemius Calf Stretch,stretching,beginner,static,,,calves,hamstrings,15,free-exercise-db
standing-hamstring-and-calf-stretch,Standing Hamstring and Calf Stretch,stretching,beginner,static,,other,hamstrings,,15,free-exercise-db
standing-hip-circles,Standing Hip Circles,stretching,beginner,pull,isolation,body only,abductors,adductors,15,free-exercise-db
standing-hip-flexors,Standing Hip Flexors,stretching,beginner,static,isolation,,quadriceps,,15,free-exercise-db
standing-lateral-stretch,Standing Lateral Stretch,stretching,beginner,static,,,abdominals,,15,free-exercise-db
standing-pelvic-tilt,Standing Pelvic Tilt,stretching,beginner,static,isolation,,lower back,glutes,15,free-exercise-db
standing-soleus-and-achilles-stretch,Standing Soleus And Achilles Stretch,stretching,beginner,static,isolation,,calves,,15,free-exercise-db
standing-toe-touches,Standing Toe Touches,stretching,beginner,static,,,hamstrings,calves,15,free-exercise-db
stomach-vacuum,Stomach Vacuum,stretching,beginner,static,isolation,body only,abdominals,,15,free-exercise-db
superman,Superman,stretching,beginner,static,compound,body only,lower back,glutes; hamstrings,15,free-exercise-db
the-straddle,The Straddle,stretching,beginner,static,,,hamstrings,adductors; calves,15,free-exercise-db
thread-the-needle-stretch,Thread the Needle Stretch,stretching,beginner,static,compound,body only,middle back; shoulders,traps; neck,10,original
toe-touchers,Toe Touchers,stretching,beginner,pull,isolation,body only,abdominals,,15,free-exercise-db
torso-rotation,Torso Rotation,stretching,beginner,pull,,exercise ball,abdominals,,15,free-exercise-db
tricep-side-stretch,Tricep Side Stretch,stretching,beginner,static,,,triceps,shoulders,15,free-exercise-db
triceps-stretch,Triceps Stretch,stretching,beginner,static,isolation,,triceps,lats,15,free-exercise-db
upper-back-leg-grab,Upper Back-Leg Grab,stretching,beginner,static,,,hamstrings,lower back; middle back,15,free-exercise-db
upper-back-stretch,Upper Back Stretch,stretching,beginner,static,,,middle back,middle back,15,free-exercise-db
upward-stretch,Upward Stretch,stretching,beginner,static,,,shoulders,chest; lats,15,free-exercise-db
windmills,Windmills,stretching,intermediate,pull,,,abductors,glutes; hamstrings; lower back,15,free-exercise-db
world-s-greatest-stretch,World's Greatest Stretch,stretching,intermediate,static,,,hamstrings,calves; glutes; quadriceps,15,free-exercise-db
wrist-circles,Wrist Circles,stretching,beginner,pull,isolation,body only,forearms,,15,free-exercise-db
atlas-stone-trainer,Atlas Stone Trainer,strongman,intermediate,pull,compound,other,lower back,biceps; forearms; glutes; hamstrings; quadriceps,120,free-exercise-db
atlas-stones,Atlas Stones,strongman,expert,pull,compound,other,lower back,abdominals; adductors; biceps; calves; forearms; glutes; hamstrings; middle back; quadriceps; traps,120,free-exercise-db
axle-deadlift,Axle Deadlift,strongman,intermediate,pull,compound,other,lower back,forearms; glutes; hamstrings; middle back; quadriceps; traps,120,free-exercise-db
backward-drag,Backward Drag,strongman,beginner,pull,compound,other,quadriceps,calves; forearms; glutes; hamstrings; lower back,120,free-exercise-db
bear-crawl-sled-drags,Bear Crawl Sled Drags,strongman,beginner,push,compound,other,quadriceps,calves; glutes; hamstrings,120,free-exercise-db
car-deadlift,Car Deadlift,strongman,intermediate,pull,compound,other,quadriceps,forearms; glutes; hamstrings; lower back; traps,120,free-exercise-db
circus-bell,Circus Bell,strongman,expert,push,compound,other,shoulders,forearms; glutes; hamstrings; lower back; traps; triceps,120,free-exercise-db
conan-s-wheel,Conan's Wheel,strongman,intermediate,,compound,other,quadriceps,abdominals; biceps; calves; forearms; lower back; shoulders; traps,120,free-exercise-db
crucifix,Crucifix,strongman,beginner,static,isolation,other,shoulders,forearms,120,free-exercise-db
farmer-s-walk,Farmer's Walk,strongman,intermediate,,compound,other,forearms,abdominals; glutes; hamstrings; lower back; quadriceps; traps,120,free-exercise-db
forward-drag-with-press,Forward Drag with Press,strongman,intermediate,push,compound,other,chest,calves; glutes; hamstrings; quadriceps; shoulders; triceps,120,free-exercise-db
keg-load,Keg Load,strongman,intermediate,pull,compound,other,lower back,abdominals; biceps; calves; forearms; glutes; hamstrings; middle back; quadriceps; shoulders; traps,120,free-exercise-db
log-lift,Log Lift,strongman,intermediate,push,compound,other,shoulders,abdominals; chest; glutes; hamstrings; lower back; middle back; quadriceps; traps; triceps,120,free-exercise-db
power-stairs,Power Stairs,strongman,intermediate,pull,compound,other,hamstrings,adductors; calves; glutes; lower back; quadriceps; shoulders; traps,120,free-exercise-db
rickshaw-carry,Rickshaw Carry,strongman,intermediate,,compound,other,forearms,abdominals; calves; glutes; hamstrings; lower back; quadriceps; traps,120,free-exercise-db
rickshaw-deadlift,Rickshaw Deadlift,strongman,intermediate,pull,compound,other,quadriceps,forearms; glutes; hamstrings; lower back; traps,120,free-exercise-db
sandbag-load,Sandbag Load,strongman,beginner,pull,compound,other,quadriceps,abdominals; biceps; calves; forearms; glutes; hamstrings; lower back; middle back; shoulders; traps,120,free-exercise-db
sandbag-shouldering,Sandbag Shouldering,strongman,intermediate,pull,compound,sandbag,glutes; hamstrings,quadriceps; lower back; traps; biceps; abdominals,90,original
sled-drag-harness,Sled Drag - Harness,strongman,beginner,push,compound,other,quadriceps,calves; glutes; hamstrings,120,free-exercise-db
sled-push,Sled Push,strongman,beginner,push,compound,other,quadriceps,calves; chest; glutes; hamstrings; triceps,120,free-exercise-db
tire-flip,Tire Flip,strongman,intermediate,pull,compound,other,quadriceps,calves; chest; forearms; glutes; hamstrings; lower back; shoulders; traps; triceps,120,free-exercise-db
yoke-walk,Yoke Walk,strongman,intermediate,,compound,other,quadriceps,abdominals; abductors; adductors; calves; glutes; hamstrings; lower back,120,free-exercise-db
awkward-pose-utkatasana,Awkward Pose (Utkatasana),yoga,beginner,static,compound,body only,quadriceps,glutes; calves; shoulders,15,original
balancing-stick-pose-tuladandasana,Balancing Stick Pose (Tuladandasana),yoga,intermediate,static,compound,body only,glutes; lower back,hamstrings; shoulders; abdominals,15,original
bikram-sit-up,Bikram Sit-Up,yoga,beginner,pull,compound,body only,abdominals,hamstrings; neck,10,original
blowing-in-firm-pose-kapalbhati-in-vajrasana,Blowing in Firm Pose (Kapalbhati in Vajrasana),yoga,beginner,static,,body only,abdominals,,10,original
boat-pose-navasana,Boat Pose (Navasana),yoga,intermediate,static,compound,body only,abdominals,quadriceps; lower back,15,original
bow-pose-dhanurasana,Bow Pose (Dhanurasana),yoga,intermediate,static,compound,body only,lower back; quadriceps,chest; shoulders; abdominals,15,original
bridge-pose-setu-bandha-sarvangasana,Bridge Pose (Setu Bandha Sarvangasana),yoga,beginner,static,compound,body only,glutes; lower back,hamstrings; chest; quadriceps,15,original
camel-pose-ustrasana,Camel Pose (Ustrasana),yoga,intermediate,static,compound,body only,chest; quadriceps,lower back; shoulders; abdominals; neck,20,original
cobra-pose-bhujangasana,Cobra Pose (Bhujangasana),yoga,beginner,static,compound,body only,lower back,chest; shoulders; glutes,10,original
crow-pose-bakasana,Crow Pose (Bakasana),yoga,expert,static,compound,body only,shoulders; abdominals,forearms; triceps; chest,20,original
dancer-s-pose-natarajasana,Dancer's Pose (Natarajasana),yoga,intermediate,static,compound,body only,quadriceps; shoulders,hamstrings; chest; glutes; abdominals,15,original
dead-body-pose-savasana,Dead Body Pose (Savasana),yoga,beginner,static,,body only,lower back,neck,0,original
downward-facing-dog-adho-mukha-svanasana,Downward Facing Dog (Adho Mukha Svanasana),yoga,beginner,static,compound,body only,hamstrings; shoulders,calves; lats; abdominals,10,original
eagle-pose-garudasana,Eagle Pose (Garudasana),yoga,intermediate,static,compound,body only,quadriceps; shoulders,calves; abductors; abdominals,15,original
extended-side-angle-pose-utthita-parsvakonasana,Extended Side Angle Pose (Utthita Parsvakonasana),yoga,intermediate,static,compound,body only,quadriceps; abdominals,adductors; shoulders; lats,10,original
fixed-firm-pose-supta-vajrasana,Fixed Firm Pose (Supta Vajrasana),yoga,intermediate,static,compound,body only,quadriceps,lower back; abdominals,15,original
four-limbed-staff-pose-chaturanga-dandasana,Four-Limbed Staff Pose (Chaturanga Dandasana),yoga,intermediate,static,compound,body only,triceps; chest,abdominals; shoulders,15,original
full-locust-pose-poorna-salabhasana,Full Locust Pose (Poorna Salabhasana),yoga,intermediate,static,compound,body only,lower back,shoulders; glutes; chest,15,original
half-moon-balance-ardha-chandrasana,Half Moon Balance (Ardha Chandrasana),yoga,intermediate,static,compound,body only,quadriceps; abductors,hamstrings; abdominals; glutes,15,original
half-moon-pose-with-hands-to-feet-ardha-chandrasana-with-pada-hastasana,Half Moon Pose with Hands to Feet (Ardha Chandrasana with Pada Hastasana),yoga,intermediate,static,compound,body only,abdominals; lower back,shoulders; hamstrings; lats,15,original
half-tortoise-pose-ardha-kurmasana,Half Tortoise Pose (Ardha Kurmasana),yoga,beginner,static,compound,body only,shoulders; lower back,lats; neck,10,original
happy-baby-pose-ananda-balasana,Happy Baby Pose (Ananda Balasana),yoga,beginner,static,compound,body only,adductors; glutes,lower back; hamstrings,10,original
head-to-knee-pose-with-stretching-pose-janushirasana-with-paschimotthanasana,Head to Knee Pose with Stretching Pose (Janushirasana with Paschimotthanasana),yoga,intermediate,static,compound,body only,hamstrings,calves; lower back; neck,15,original
legs-up-the-wall-pose-viparita-karani,Legs-Up-the-Wall Pose (Viparita Karani),yoga,beginner,static,,body only,hamstrings,lower back,0,original
locust-pose-salabhasana,Locust Pose (Salabhasana),yoga,intermediate,static,compound,body only,lower back; glutes,hamstrings,15,original
low-lunge-anjaneyasana,Low Lunge (Anjaneyasana),yoga,beginner,static,compound,body only,quadriceps; glutes,abdominals; abductors,10,original
pigeon-pose-eka-pada-rajakapotasana,Pigeon Pose (Eka Pada Rajakapotasana),yoga,intermediate,static,compound,body only,glutes; abductors,quadriceps; lower back,15,original
puppy-pose-uttana-shishosana,Puppy Pose (Uttana Shishosana),yoga,beginner,static,compound,body only,shoulders; lats,middle back; chest,10,original
rabbit-pose-sasangasana,Rabbit Pose (Sasangasana),yoga,intermediate,static,compound,body only,middle back; lower back,neck; traps,15,original
reverse-warrior-viparita-virabhadrasana,Reverse Warrior (Viparita Virabhadrasana),yoga,beginner,static,compound,body only,quadriceps; abdominals,adductors; shoulders; lats,10,original
spine-twisting-pose-ardha-matsyendrasana,Spine Twisting Pose (Ardha Matsyendrasana),yoga,beginner,static,compound,body only,middle back; lower back,glutes; neck; shoulders,10,original
standing-bow-pose-dandayamana-dhanurasana,Standing Bow Pose (Dandayamana Dhanurasana),yoga,intermediate,static,compound,body only,quadriceps; chest,shoulders; hamstrings; glutes; abdominals,20,original
standing-deep-breathing-pranayama,Standing Deep Breathing (Pranayama),yoga,beginner,static,,body only,abdominals,neck; shoulders,10,original
standing-head-to-knee-dandayamana-janushirasana,Standing Head to Knee (Dandayamana Janushirasana),yoga,expert,static,compound,body only,hamstrings; quadriceps,abdominals; calves; lower back,20,original
standing-separate-leg-head-to-knee-pose-dandayamana-bibhaktapada-janushirasana,Standing Separate Leg Head to Knee Pose (Dandayamana Bibhaktapada Janushirasana),yoga,intermediate,static,compound,body only,hamstrings; abdominals,lower back; calves; neck,15,original
standing-separate-leg-stretching-pose-dandayamana-bibhaktapada-paschimotthanasana,Standing Separate Leg Stretching Pose (Dandayamana Bibhaktapada Paschimotthanasana),yoga,beginner,static,compound,body only,hamstrings; adductors,lower back; calves,15,original
toe-stand-pose-padangustasana,Toe Stand Pose (Padangustasana),yoga,expert,static,compound,body only,calves; quadriceps,abdominals; glutes,20,original
tree-pose-tadasana-vrksasana,Tree Pose (Tadasana Vrksasana),yoga,beginner,static,compound,body only,quadriceps; calves,abductors; abdominals; glutes,10,original
triangle-pose-trikanasana,Triangle Pose (Trikanasana),yoga,intermediate,static,compound,body only,quadriceps; adductors,abdominals; shoulders; abductors,15,original
upward-facing-dog-urdhva-mukha-svanasana,Upward Facing Dog (Urdhva Mukha Svanasana),yoga,beginner,static,compound,body only,lower back; chest,shoulders; triceps; quadriceps,10,original
warrior-i-virabhadrasana-i,Warrior I (Virabhadrasana I),yoga,beginner,static,compound,body only,quadriceps; glutes,calves; shoulders; abdominals,10,original
warrior-ii-virabhadrasana-ii,Warrior II (Virabhadrasana II),yoga,beginner,static,compound,body only,quadriceps; adductors,abductors; shoulders; calves,10,original
warrior-iii-virabhadrasana-iii,Warrior III (Virabhadrasana III),yoga,intermediate,static,compound,body only,hamstrings; glutes,lower back; abdominals; calves,15,original
wheel-pose-urdhva-dhanurasana,Wheel Pose (Urdhva Dhanurasana),yoga,expert,static,compound,body only,lower back; shoulders,chest; quadriceps; glutes; triceps,30,original
wind-removing-pose-pavanamuktasana,Wind Removing Pose (Pavanamuktasana),yoga,beginner,static,compound,body only,lower back; glutes,abdominals,10,original
